CUE20005.1,"[4, 16]",010IYR2J
CUE30001.2,"[17, 18, 19, 20]",010IYR2J
GEK10066.1,"[14, 50]",010IYR2J
GEK10041.1,"[3, 39]",010IYR2J
GEK20059.1,"[5, 41]",010IYR2J
CUE20005.1,"[4, 16]",010IYR2J
CUE20052.1,"[1, 37]",010IYR2J
CSW20012.1,"[14, 50]",07xpnJMZ
CSW20021.1,"[13, 49]",07xpnJMZ
CSW20054.1,"[15, 51]",07xpnJMZ
GCS20001.4,"[1, 37]",07xpnJMZ
GEK10022.1,"[5, 41]",07xpnJMZ
CSW20065.1,"[2, 38]",07xpnJMZ
CCC20064.1,"[16, 52]",0A05wQ48
GEK10090.2,"[17, 53]",0A05wQ48
GEK10093.1,"[15, 51]",0A05wQ48
CCC20050.1,"[5, 41]",0A05wQ48
GEK10062.2,"[3, 39]",0A05wQ48
MEC10001.1,"[6, 42]",0A05wQ48
GEK10066.1,"[14, 50]",0AtizajS
GEK20058.5,"[15, 51]",0AtizajS
GCS10052.11,"[5, 41]",0AtizajS
GCS10002.2,"[6, 42]",0AtizajS
GEK10059.3,"[3, 39]",0AtizajS
GEK30030.1,"[15, 51]",0AUCUxw2
MEC30072.1,"[14, 50]",0AUCUxw2
MEC30074.1,"[13, 49]",0AUCUxw2
MEC20059.1,"[3, 39]",0AUCUxw2
GCS10004.1,"[4, 40]",0AUCUxw2
ECE30011.1,"[6, 42]",0AUCUxw2
GCS10033.3,"[17, 53]",0bjs6sbd
GEK10066.1,"[14, 50]",0bjs6sbd
GEK10095.2,"[15, 51]",0bjs6sbd
GEK20058.1,"[13, 49]",0bjs6sbd
GCS10014.1,"[2, 3]",0bjs6sbd
GEK10091.1,"[6, 7]",0bjs6sbd
GEK20011.3,"[4, 40]",0bjs6sbd
GCS10062.6,"[18, 54]",0chbcZga
GEK10095.2,"[15, 51]",0chbcZga
GEK20058.2,"[14, 50]",0chbcZga
MEC10002.2,"[16, 52]",0chbcZga
GEK10041.1,"[3, 39]",0chbcZga
GCS10037.1,"[5, 41]",0chbcZga
CCE22001.1,"[18, 54]",0crFvetU
CCE32001.1,"[16, 17]",0crFvetU
ISE30093.1,"[50, 51]",0crFvetU
ISE20006.1,"[6, 42]",0crFvetU
ISE40013.1,"[4, 40]",0crFvetU
GEK20062.2,"[5, 41]",0crFvetU
ITP20003.2,"[17, 53]",0EsQt1Ys
ITP20007.2,"[15, 51]",0EsQt1Ys
