GLC 106,GCS10062.9,"[15, 51]",0jGBnCf8
NMH 403,GEK20058.4,"[14, 50]",0jGBnCf8
HDH 303B,GCS10037.1,"[5, 41]",0jGBnCf8
NMH 105,GEK10062.1,"[2, 38]",0jGBnCf8
NMH 410A,GEK10060.1,"[3, 39]",0jGBnCf8
ANH 305,LAW30072.1,"[15, 51]",0kpIvwfL
NMH 103A,MEC20002.2,"[14, 50]",0kpIvwfL
NMH 410B,GEK10040.2,"[3, 4]",0kpIvwfL
OH 305,CCE20003.1,"[2, 38]",0kpIvwfL
HDH 418B,GEK10021.4,[53],0KsJYER8
NTH 310,ECE20016.1,"[5, 41]",0KsJYER8
NTH 313,ITP20001.2,"[6, 42]",0KsJYER8
OH 405,ECE20057.1,"[2, 38]",0KsJYER8
OH 405,GEK10030.1,"[14, 50]",0kWo1qCk
NMH 410A,GEK10070.1,"[15, 51]",0kWo1qCk
OH 403,GEK20058.1,"[13, 49]",0kWo1qCk
HDH 424,GCS10001.5,"[3, 39]",0kWo1qCk
NMH 307,GEK10041.3,"[41, 42]",0kWo1qCk
NTH 213,GEK20021.2,"[43, 44]",0kWo1qCk
OH 403,GEK20058.2,"[14, 50]",0lkO8EjY
ANH 302,LAW10004.1,"[1, 37]",0lkO8EjY
HDH 318,ISE10051.2,[5],0lkO8EjY
NMH 105,GEK10062.1,"[2, 38]",0lkO8EjY
OH 405,MEC10001.1,"[6, 42]",0lkO8EjY
ANH 313,ECE20051.3,"[14, 50]",0m5WN4Jf
ANH 313,ECE30030.1,"[17, 53]",0m5WN4Jf
NTH 213,ECE40093.3,"[32, 55]",0m5WN4Jf
GLC 202,GCS20002.2,"[5, 41]",0m5WN4Jf
NTH 413,ECE30075.1,"[2, 38]",0m5WN4Jf
HDH 303B,GCS10037.4,"[16, 52]",0MHA49kY
OH 403,GEK20058.1,"[13, 49]",0MHA49kY
OH 402,GEK30030.1,"[15, 51]",0MHA49kY
ANH Auditorium,GEK10041.1,"[3, 39]",0MHA49kY
GLC 304,GCS10052.10,"[2, 38]",0MHA49kY
OH 405,GEK10057.1,"[5, 41]",0MHA49kY
NMH 310,BFT30057.1,"[16, 52]",0PLxwd2X
NMH 310,BFT40013.1,"[17, 53]",0PLxwd2X
NMH 310,BFT40012.1,"[4, 40]",0PLxwd2X
NTH 310,ECE20016.1,"[5, 41]",0PLxwd2X
OH 405,ECE20057.1,"[2, 38]",0PLxwd2X
NTH 212,CUE20003.1,"[17, 18, 19, 20]",0pude2vx
NTH 313,CUE20005.1,"[4, 16]",0pude2vx
NMH 105,GEK10062.1,"[2, 38]",0pude2vx
NTH 220,CUE30001.1,"[5, 6, 7, 8]",0pude2vx
NTH 313,CUE20005.1,"[4, 16]",0pude2vx
NTH 313,CUE20052.1,"[1, 37]",0pude2vx
GLC 303,GCS10053.4,"[15, 51]",0uuLl6Cj
NTH 313,GEK10066.1,"[14, 50]",0uuLl6Cj
HDH 318,ISE20085.1,"[17, 18]",0uuLl6Cj
HDH 424,GCS10001.6,"[5, 41]",0uuLl6Cj
NMH 403,GEK20062.3,"[7, 43]",0uuLl6Cj
OH 403,GEK20058.8,"[3, 39]",0uuLl6Cj
OH 405,CSW20054.1,"[15, 51]",0vgFfTuI
OH 405,GEK10030.1,"[14, 50]",0vgFfTuI
NMH 307,GEK10041.3,"[41, 42]",0vgFfTuI
OH 401,CSW20065.1,"[2, 38]",0vgFfTuI
OH 405,GEK10042.1,"[3, 39]",0vgFfTuI
NMH 307,BFT30001.1,"[14, 50]",0VHLpiL3
NMH 307,BFT30016.1,"[15, 51]",0VHLpiL3
OH 306,ISE10022.1,"[53, 54]",0VHLpiL3
HDH 324,ISE30096.1,"[2, 38]",0VHLpiL3
NMH 310,BFT30027.1,"[5, 41]",0VHLpiL3
NMH 403,GEK20062.3,"[7, 43]",0VHLpiL3
NMH 410A,BFT30055.1,"[9, 45]",0VHLpiL3
OH 405,CSW20054.1,"[15, 51]",0VLowURz
HDH 425B,GEK20033.1,"[14, 50]",0VLowURz
NMH 307,GEK10041.3,"[41, 42]",0VLowURz
OH 305,HMM10041.1,"[3, 39]",0VLowURz
HDH 418B,GEK10090.1,"[15, 51]",0vOfhf0q
HDH 425B,GEK20033.1,"[14, 50]",0vOfhf0q
GLC 304,GCS10052.3,"[6, 42]",0vOfhf0q
NMH 410A,GEK10060.1,"[3, 39]",0vOfhf0q
OH 403,GEK20058.7,"[2, 38]",0vOfhf0q
OH 405,GEK10057.1,"[5, 41]",0vOfhf0q
HDH 320B,CSW30008.1,"[14, 50]",0wnLRf6j
HDH 323C,ISE30080.1,"[17, 53]",0wnLRf6j
HDH 318,ISE20075.1,"[3, 39]",0wnLRf6j
HDH 318,ISE20084.1,"[6, 42]",0wnLRf6j
OH 401,CSW20065.1,"[2, 38]",0wnLRf6j
HDH 403,GCS10002.6,"[14, 50]",0wzrHPLW
HDH 425B,GCS10010.1,"[18, 54]",0wzrHPLW
HCA 2F,GEK10061.2,"[15, 51]",0wzrHPLW
ANH 302,LAW10004.1,"[1, 37]",0wzrHPLW
OH 305,GEK20044.1,"[4, 5]",0wzrHPLW
OH 403,GEK20058.7,"[2, 38]",0wzrHPLW
HDH 418B,GEK10055.1,"[13, 49]",0xCPR3do
NMH 403,GEK20058.6,"[16, 52]",0xCPR3do
OH 402,GEK30030.1,"[15, 51]",0xCPR3do
GLC 303,GCS10052.12,"[6, 42]",0xCPR3do
HDH 418B,GEK10096.2,"[3, 39]",0xCPR3do
HDH 419,GEK10038.1,"[37, 38]",0xCPR3do
OH 401,ECE20010.2,"[15, 51]",0XpCZUeW
HDH 418B,GEK10095.3,"[18, 54]",0XpCZUeW
OH 401,ITP20003.1,"[16, 52]",0XpCZUeW
NMH 105,GEK10062.2,"[3, 39]",0XpCZUeW
NMH 403,GEK20059.1,"[5, 41]",0XpCZUeW
OH 405,ECE20057.1,"[2, 38]",0XpCZUeW
OH 302,GCS20006.2,"[15, 51]",0YSKpyeE
OH 402,GEE20034.1,"[14, 50]",0YSKpyeE
