Buildfile: /Users/IK/Project/HongLab/classRoomAssignment_Ver2/build.xml

init:
   [delete] Deleting directory /Users/IK/Project/HongLab/classRoomAssignment_Ver2/bin
    [mkdir] Created dir: /Users/IK/Project/HongLab/classRoomAssignment_Ver2/bin

build:
    [javac] /Users/IK/Project/HongLab/classRoomAssignment_Ver2/build.xml:18: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 10 source files to /Users/IK/Project/HongLab/classRoomAssignment_Ver2/bin
    [javac] warning: [options] bootstrap class path not set in conjunction with -source 1.7
    [javac] 1 warning

BUILD SUCCESSFUL
Total time: 0 seconds
ECE20010.2, BFT20002.1, 2
ECE20010.2, BFT30057.1, 2
ECE20010.2, CUE20005.1, 1
ECE20016.1, BFT40012.1, 2
ECE20016.1, CCC20074.1, 1
ECE20016.2, BFT20001.1, 1
ECE20051.3, ECE20010.2, 18
ECE20057.1, BFT40001.1, 2
ECE20057.1, CUE20052.1, 2
ECE20057.1, ECE20010.1, 2
ECE20057.1, ECE20051.2, 22
ECE20060.1, ECE20060.1, 28
ECE20060.2, ECE20016.2, 2
ECE20060.2, ECE20060.2, 20
ECE30011.1, CSW20005.2, 2
ECE30011.1, ECE20016.1, 2
ECE30011.1, ECE20060.2, 2
ECE30021.2, ECE20060.1, 1
ECE30030.1, ECE30021.2, 14
ECE30056.1, ECE30056.1, 5
ECE30063.1, ECE30021.1, 2
ECE30075.1, CCE20005.1, 4
ECE30081.1, ECE20060.2, 2
ECE30081.1, ECE30056.1, 5
ECE30092.1, ECE30021.2, 1
ECE40047.1, ECE40012.1, 2
ENG20022.1, ECE20060.1, 1
ENG20022.1, ECE30030.1, 2
GCS10001.2, CCC20064.1, 2
GCS10001.3, CUE20005.1, 1
GCS10001.4, CSW20012.3, 1
GCS10001.5, CUE20005.1, 1
GCS10001.5, ECE30012.1, 2
GCS10002.1, GCS10002.1, 45
GCS10002.4, CCC20076.1, 2
GCS10002.5, CCC20053.1, 2
GCS10002.7, CCC20053.1, 2
GCS10003.1, CSW20012.3, 2
GCS10003.1, CSW30017.1, 2
GCS10003.1, CSW40010.2, 2
GCS10004.1, CSW30035.1, 2
GCS10004.1, CSW30063.1, 2
GCS10007.1, CCC20020.1, 2
GCS10007.1, CCC20050.1, 4
GCS10007.1, CSW20005.2, 4
GCS10007.1, CSW40010.2, 2
GCS10007.1, CUE20003.3, 1
GCS10007.1, CUE30031.1, 2
GCS10007.1, GCS10001.6, 4
GCS10007.2, CSW20012.3, 2
GCS10007.2, CUE20005.1, 1
GCS10007.2, GCS10002.3, 4
GCS10007.2, GCS10004.1, 2
GCS10007.3, BFT20002.1, 20
GCS10007.3, CCE22001.1, 6
GCS10007.4, CSW20015.1, 1
GCS10010.1, CCC30094.1, 1
GCS10010.1, CSW20015.1, 1
GCS10010.1, ECE20060.1, 1
GCS10010.1, GCS10001.3, 2
GCS10010.1, GCS10007.3, 2
GCS10011.1, BFT20002.1, 10
GCS10011.1, ECE20051.3, 10
GCS10011.1, ECE30051.1, 2
GCS10012.1, CSW20012.2, 2
GCS10012.1, CSW20021.1, 2
GCS10012.1, ECE20010.2, 2
GCS10012.1, GCS10001.2, 2
GCS10012.1, GCS10002.5, 2
GCS10014.1, GCS10001.7, 1
GCS10014.1, GCS10014.1, 27
GCS10019.1, ECE20010.1, 4
GCS10019.2, ECE20057.1, 4
GCS10023.1, CUE20005.1, 1
GCS10023.1, GCS10002.1, 3
GCS10027.1, CCC20053.1, 2
GCS10027.1, CUE40053.1, 4
GCS10027.1, ECE20051.3, 2
GCS10027.1, GCS10002.6, 4
GCS10027.2, CSW20021.1, 2
GCS10027.2, CSW20054.1, 2
GCS10027.2, ECE20010.2, 2
GCS10028.1, CCC20053.1, 4
GCS10028.1, CCC20064.1, 2
GCS10028.1, CCC20086.1, 2
GCS10028.1, CCC30094.1, 1
GCS10028.1, GCS10012.1, 2
GCS10033.1, CSW20021.1, 2
GCS10033.1, CSW20054.1, 4
GCS10033.1, CSW20079.1, 2
GCS10033.1, CSW30009.3, 2
GCS10033.1, ECE40012.1, 2
GCS10033.1, GCS10002.5, 2
GCS10033.1, GCS10011.1, 2
GCS10033.2, CCC20053.1, 2
GCS10033.2, CCC20064.1, 2
GCS10033.2, CSW30056.1, 2
GCS10033.2, GCS10002.6, 2
GCS10033.2, GCS10012.1, 2
GCS10033.3, CUE20005.1, 1
GCS10033.3, GCS10002.1, 1
GCS10033.4, GCS10001.5, 4
GCS10033.4, GCS10001.6, 2
GCS10034.1, GCS10002.2, 2
GCS10034.1, GCS10002.3, 2
GCS10037.1, CSW20001.1, 2
GCS10037.1, CUE20005.1, 1
GCS10037.1, GCS10002.2, 4
GCS10037.1, GCS10002.3, 2
GCS10037.1, GCS10007.1, 2
GCS10037.10, CSW30035.1, 2
GCS10037.10, GCS10034.1, 2
GCS10037.11, BFT40012.1, 2
GCS10037.11, ECE30011.1, 2
GCS10037.11, GCS10002.3, 6
GCS10037.12, BFT30001.1, 2
GCS10037.12, CSW20015.1, 1
GCS10037.12, ECE30051.1, 2
GCS10037.2, CCC20050.1, 2
GCS10037.2, CSW20005.2, 8
GCS10037.2, GCS10001.6, 2
GCS10037.2, GCS10002.4, 6
GCS10037.3, BFT20002.1, 6
GCS10037.3, ECE20051.3, 2
GCS10037.3, GCS10002.6, 4
GCS10037.3, GCS10012.1, 2
GCS10037.4, CSW20012.2, 2
GCS10037.4, CSW30012.1, 2
GCS10037.4, GCS10002.7, 2
GCS10037.5, CCC20065.1, 2
GCS10037.5, CSW20005.1, 2
GCS10037.5, CSW40052.1, 2
GCS10037.5, CUE20052.1, 2
GCS10037.6, BFT20001.1, 3
GCS10037.6, CCE20003.1, 2
GCS10037.6, CSW20065.1, 4
GCS10037.7, CSW20012.2, 2
GCS10037.7, CSW20054.1, 4
GCS10037.7, CSW20079.1, 2
GCS10037.7, ECE40012.1, 2
GCS10037.7, GCS10011.1, 2
GCS10037.8, CCC40044.1, 1
GCS10037.8, GCS10001.3, 2
GCS10037.9, BFT20002.1, 2
GCS10037.9, GCS10002.1, 1
GCS10039.1, BFT20002.1, 2
GCS10039.1, CCC20064.1, 2
GCS10039.1, CSW20064.1, 2
GCS10039.1, GCS10007.4, 6
GCS10039.2, BFT20002.1, 2
GCS10039.2, BFT30001.1, 2
GCS10039.2, CCC20053.1, 2
GCS10039.2, CSW20015.1, 1
GCS10039.2, CSW30008.1, 2
GCS10039.2, CUE40053.1, 2
GCS10039.2, GCS10001.1, 2
GCS10039.2, GCS10002.6, 2
GCS10041.1, GCS10001.2, 1
GCS10041.1, GCS10002.5, 2
GCS10041.2, GCS10002.6, 1
GCS10050.1, GCS10001.4, 2
GCS10050.1, GCS10019.1, 2
GCS10050.2, GCS10001.7, 2
GCS10050.2, GCS10019.2, 2
GCS10050.2, GCS10041.2, 1
GCS10050.4, GCS10001.5, 2
GCS10050.4, GCS10041.2, 1
GCS10050.6, GCS10002.2, 2
GCS10050.6, GCS10002.3, 2
GCS10050.6, GCS10037.2, 2
GCS10052.1, ECE20057.1, 2
GCS10052.1, GCS10001.4, 2
GCS10052.10, CSW30017.1, 2
GCS10052.11, GCS10002.2, 6
GCS10052.11, GCS10002.3, 6
GCS10052.12, GCS10001.6, 2
GCS10052.12, GCS10002.4, 2
GCS10052.12, GCS10034.1, 2
GCS10052.12, GCS10037.1, 2
GCS10052.12, GCS10037.11, 2
GCS10052.2, GCS10001.6, 4
GCS10052.3, CCC20050.1, 2
GCS10052.3, GCS10002.4, 2
GCS10052.4, GCS10001.6, 2
GCS10052.4, GCS10037.11, 4
GCS10052.5, CUE20005.1, 3
GCS10052.5, GCS10002.2, 4
GCS10052.5, GCS10002.3, 2
GCS10052.5, GCS10037.2, 2
GCS10052.6, GCS10001.5, 4
GCS10052.6, GCS10001.7, 2
GCS10052.7, GCS10001.4, 2
GCS10052.8, GCS10002.2, 6
GCS10052.8, GCS10002.3, 4
GCS10052.9, CCE20003.1, 2
GCS10052.9, GCS10014.1, 1
GCS10053.1, CSW20079.1, 2
GCS10053.1, CUE20013.1, 2
GCS10053.1, GCS10011.1, 2
GCS10053.10, GCS10007.3, 2
GCS10053.10, GCS10016.2, 2
GCS10053.2, BFT30016.1, 2
GCS10053.2, CSW20012.2, 2
GCS10053.2, CSW20054.1, 4
GCS10053.2, ECE20010.2, 2
GCS10053.2, GCS10011.1, 2
